time,lat,lon,ele,power,hr,cad
0,-11.6357550,166.9534780,5.0,246,135,104
1,-11.6358290,166.9534350,5.0,290,135,105
2,-11.6358970,166.9533600,5.0,287,135,106
3,-11.6359550,166.9532950,5.0,262,135,108
4,-11.6360090,166.9532100,5.0,253,134,106
5,-11.6360620,166.9531240,5.0,248,134,106
6,-11.6361170,166.9530490,5.0,255,134,104
7,-11.6361750,166.9529630,5.0,288,133,108
8,-11.6362330,166.9528880,5.0,256,134,108
9,-11.6362900,166.9528130,5.0,259,134,104
10,-11.6363450,166.9527380,5.0,265,134,103
11,-11.6364000,166.9526520,5.0,271,134,102
12,-11.6364530,166.9525660,5.0,251,134,102
13,-11.6365170,166.9525020,5.0,266,134,102
14,-11.6365920,166.9524260,5.0,279,135,103
15,-11.6366810,166.9523840,5.0,266,135,105
16,-11.6367810,166.9523840,5.0,287,135,103
17,-11.6368800,166.9523940,5.0,284,135,104
18,-11.6369700,166.9524590,5.2,291,135,105
19,-11.6370530,166.9525020,5.2,277,135,105
20,-11.6371350,166.9525660,5.2,274,136,104
21,-11.6372140,166.9526410,5.2,277,136,104
22,-11.6372900,166.9527160,5.2,278,136,105
23,-11.6373650,166.9527910,5.0,284,136,106
24,-11.6374330,166.9528660,4.8,247,136,104
25,-11.6375010,166.9529630,4.6,260,136,105
26,-11.6375630,166.9530490,4.4,271,136,103
27,-11.6376230,166.9531450,4.0,255,136,104
28,-11.6376780,166.9532530,3.4,242,136,103
29,-11.6377270,166.9533600,3.0,267,136,103
30,-11.6377600,166.9534780,2.6,263,137,104
31,-11.6377760,166.9536070,2.4,256,136,103
32,-11.6377630,166.9537250,2.0,278,137,102
33,-11.6377270,166.9538430,2.0,266,137,103
34,-11.6376730,166.9539500,1.8,271,137,103
35,-11.6376100,166.9540570,1.8,251,137,102
36,-11.6375420,166.9541650,1.8,267,137,103
37,-11.6374680,166.9542720,1.8,248,137,101
38,-11.6373900,166.9543680,1.8,273,138,102
39,-11.6373080,166.9544540,2.0,257,138,102
40,-11.6372250,166.9545510,2.2,260,138,102
41,-11.6371350,166.9546260,2.2,243,138,103
42,-11.6370400,166.9547010,2.4,238,138,99
43,-11.6369440,166.9547650,2.6,262,138,98
44,-11.6368480,166.9548190,2.8,253,138,95
45,-11.6367530,166.9548830,2.8,245,138,94
46,-11.6366620,166.9549580,3.0,248,139,94
47,-11.6365880,166.9550340,3.2,255,139,95
48,-11.6365510,166.9551410,3.4,237,139,95
49,-11.6365490,166.9552480,3.8,235,139,95
50,-11.6366140,166.9553450,4.2,240,139,92
51,-11.6367060,166.9553880,4.4,255,139,94
52,-11.6368050,166.9554200,4.4,255,139,95
53,-11.6369070,166.9554310,4.6,259,140,96
54,-11.6370080,166.9554630,4.6,242,140,95
55,-11.6371100,166.9554630,4.6,233,140,94
56,-11.6371920,166.9555270,4.8,261,140,93
57,-11.6372090,166.9556340,4.6,261,140,93
58,-11.6371980,166.9557420,4.6,248,140,94
59,-11.6371810,166.9558490,4.6,258,140,94
60,-11.6371620,166.9559560,4.6,234,140,94
61,-11.6371380,166.9560420,4.6,238,140,94
62,-11.6371150,166.9561490,4.6,252,141,95
63,-11.6370990,166.9562570,4.4,246,140,95
64,-11.6370790,166.9563640,4.4,237,141,94
65,-11.6370590,166.9564710,4.4,248,141,95
66,-11.6370400,166.9565780,4.4,240,141,94
67,-11.6370200,166.9566970,4.2,239,140,94
68,-11.6369990,166.9568040,4.0,240,141,94
69,-11.6369720,166.9569110,3.8,243,141,95
70,-11.6369420,166.9570180,3.4,238,141,95
71,-11.6369110,166.9571470,3.0,238,141,94
72,-11.6368860,166.9572440,2.6,240,141,92
73,-11.6368640,166.9573720,2.4,255,140,94
74,-11.6368400,166.9574900,2.0,241,141,94
75,-11.6368190,166.9576190,1.6,251,141,93
76,-11.6368050,166.9577370,1.4,247,141,93
77,-11.6368010,166.9578770,1.0,235,141,92
78,-11.6367970,166.9579950,0.8,228,141,92
79,-11.6367970,166.9581340,0.6,237,141,91
80,-11.6368080,166.9582520,0.4,241,141,91
81,-11.6368310,166.9583810,0.4,239,141,93
82,-11.6368550,166.9584990,0.4,239,141,92
83,-11.6368860,166.9586170,0.4,242,142,92
84,-11.6369190,166.9587240,0.4,245,142,92
85,-11.6369600,166.9588320,0.4,235,142,92
86,-11.6370040,166.9589390,0.4,222,142,91
87,-11.6370550,166.9590460,0.6,224,142,91
88,-11.6371100,166.9591430,0.6,247,142,92
89,-11.6371690,166.9592500,0.6,239,142,93
90,-11.6372310,166.9593360,0.6,262,143,94
91,-11.6372980,166.9594320,0.6,239,142,96
92,-11.6373700,166.9595070,0.6,229,142,93
93,-11.6374420,166.9596040,0.6,230,142,92
94,-11.6375190,166.9596790,0.6,245,142,92
95,-11.6376030,166.9597540,0.6,223,142,93
96,-11.6376880,166.9598080,0.6,229,141,92
97,-11.6377790,166.9598940,0.6,228,141,92
98,-11.6378730,166.9599370,0.6,228,141,92
99,-11.6379670,166.9599900,0.6,229,140,91
100,-11.6380630,166.9600550,0.6,229,140,91
101,-11.6381610,166.9600980,0.6,219,141,90
102,-11.6382580,166.9601510,0.6,228,141,91
103,-11.6383570,166.9601940,0.6,235,141,90
104,-11.6384590,166.9602370,0.6,225,142,91
105,-11.6385600,166.9602910,0.6,229,142,91
106,-11.6386610,166.9603120,0.6,231,143,92
107,-11.6387620,166.9603660,0.6,238,143,91
108,-11.6388600,166.9603870,0.6,222,143,91
109,-11.6389610,166.9604190,0.6,219,143,91
110,-11.6390560,166.9604520,0.8,228,143,91
111,-11.6391560,166.9604840,0.8,223,144,91
112,-11.6392560,166.9605160,1.0,215,144,91
113,-11.6393560,166.9605270,1.0,223,144,92
114,-11.6394570,166.9605590,0.8,237,144,91
115,-11.6395600,166.9605800,0.6,232,144,91
116,-11.6396650,166.9606020,0.4,215,144,92
117,-11.6397710,166.9606230,0.0,229,144,91
118,-11.6398790,166.9606340,-0.4,240,144,91
119,-11.6399920,166.9606660,-0.8,229,144,91
120,-11.6401060,166.9606770,-1.4,240,144,92
121,-11.6402210,166.9606980,-1.8,226,145,91
122,-11.6403390,166.9607310,-2.2,227,144,90
123,-11.6404590,166.9607410,-2.6,224,145,90
124,-11.6405790,166.9607730,-3.0,221,145,89
125,-11.6407040,166.9608060,-3.6,223,145,89
126,-11.6408300,166.9608160,-4.0,225,145,89
127,-11.6409570,166.9608490,-4.4,219,145,90
128,-11.6410850,166.9608700,-5.0,229,144,89
129,-11.6412150,166.9608910,-5.4,232,144,89
130,-11.6413480,166.9609240,-5.6,203,144,88
131,-11.6414800,166.9609560,-5.8,228,144,90
132,-11.6416090,166.9609880,-6.0,230,144,90
133,-11.6417370,166.9610200,-6.0,233,144,90
134,-11.6418630,166.9610520,-6.0,235,145,91
135,-11.6419890,166.9610740,-5.8,233,145,91
136,-11.6421110,166.9611280,-5.8,225,145,91
137,-11.6422260,166.9611700,-5.6,227,145,90
138,-11.6423350,166.9612350,-5.6,225,145,90
139,-11.6424370,166.9612880,-5.6,217,145,89
140,-11.6425320,166.9613640,-5.4,218,145,89
141,-11.6426160,166.9614490,-5.4,218,146,89
142,-11.6426900,166.9615350,-5.4,219,146,90
143,-11.6427550,166.9616430,-5.4,217,146,89
144,-11.6428140,166.9617390,-5.4,216,146,89
145,-11.6428670,166.9618460,-5.4,230,147,91
146,-11.6429150,166.9619540,-5.4,232,147,91
147,-11.6429640,166.9620390,-5.4,214,147,91
148,-11.6430090,166.9621470,-5.4,230,147,91
149,-11.6430550,166.9622540,-5.4,217,147,90
150,-11.6431010,166.9623610,-5.4,218,147,90
151,-11.6431450,166.9624690,-5.4,271,146,90
152,-11.6431930,166.9625540,-5.4,177,146,92
153,-11.6432510,166.9626510,-5.4,229,146,92
154,-11.6433140,166.9627580,-5.4,227,146,91
155,-11.6433770,166.9628440,-5.4,224,146,89
156,-11.6434510,166.9629300,-5.4,228,146,89
157,-11.6435300,166.9630050,-5.4,232,146,89
158,-11.6436140,166.9630800,-5.4,231,146,90
159,-11.6437010,166.9631340,-5.4,218,146,90
160,-11.6437900,166.9632200,-5.4,233,146,90
161,-11.6438820,166.9632630,-5.4,220,146,89
162,-11.6439790,166.9633270,-5.4,219,146,89
163,-11.6440770,166.9633700,-5.4,218,147,88
164,-11.6441800,166.9634130,-5.4,214,147,89
165,-11.6442820,166.9634450,-5.4,218,147,89
166,-11.6443880,166.9634770,-5.4,201,147,88
167,-11.6444940,166.9634880,-5.4,221,147,88
168,-11.6446010,166.9635090,-5.4,244,147,89
169,-11.6447070,166.9635200,-5.4,226,147,91
170,-11.6448140,166.9635200,-5.4,222,146,90
171,-11.6449200,166.9635090,-5.4,219,146,90
172,-11.6450250,166.9634880,-5.4,224,146,89
173,-11.6451300,166.9634560,-5.4,219,146,89
174,-11.6452330,166.9634230,-5.4,227,146,90
175,-11.6453320,166.9634020,-5.4,238,146,91
176,-11.6454260,166.9633480,-5.4,218,146,91
177,-11.6455190,166.9632950,-5.4,210,147,90
178,-11.6456070,166.9632410,-5.4,223,146,90
179,-11.6456940,166.9631870,-5.4,220,146,90
180,-11.6457770,166.9631230,-5.4,225,146,89
181,-11.6458540,166.9630480,-5.4,223,146,89
182,-11.6459260,166.9629730,-5.4,220,146,88
183,-11.6459930,166.9628760,-5.4,220,146,90
184,-11.6460600,166.9628010,-5.4,222,146,90
185,-11.6461270,166.9627150,-5.4,211,146,89
186,-11.6461900,166.9626400,-5.4,209,146,88
187,-11.6462550,166.9625440,-5.4,229,146,90
188,-11.6463190,166.9624470,-5.4,228,146,90
189,-11.6463800,166.9623720,-5.4,226,147,90
190,-11.6464410,166.9622860,-5.4,226,147,90
191,-11.6465040,166.9622110,-5.4,223,147,89
192,-11.6465670,166.9621150,-5.4,217,147,89
193,-11.6466330,166.9620390,-5.4,207,146,88
194,-11.6467040,166.9619640,-5.4,211,147,88
195,-11.6467720,166.9618680,-5.4,224,146,89
196,-11.6468480,166.9617930,-5.4,220,147,89
197,-11.6469230,166.9617390,-5.4,222,147,89
198,-11.6470030,166.9616640,-5.4,229,147,90
199,-11.6470920,166.9616000,-5.4,225,147,91
200,-11.6471840,166.9615570,-5.4,219,146,91
201,-11.6472790,166.9615030,-5.4,221,147,91
202,-11.6473790,166.9614710,-5.4,214,146,90
203,-11.6474790,166.9614600,-5.4,217,147,89
204,-11.6475800,166.9614490,-5.4,221,147,90
205,-11.6476830,166.9614490,-5.4,218,147,89
206,-11.6477840,166.9614490,-5.4,205,147,89
207,-11.6478860,166.9614600,-5.4,231,147,90
208,-11.6479860,166.9614600,-5.4,215,147,90
209,-11.6480850,166.9614920,-5.4,217,147,90
210,-11.6481870,166.9615030,-5.4,217,146,90
211,-11.6482870,166.9615240,-5.4,222,146,90
212,-11.6483890,166.9615350,-5.4,217,145,89
213,-11.6484890,166.9615670,-5.4,223,145,90
214,-11.6485910,166.9615780,-5.4,195,145,89
215,-11.6486930,166.9616100,-5.4,195,145,88
216,-11.6487950,166.9616320,-5.4,205,145,87
217,-11.6488950,166.9616430,-5.4,220,146,88
218,-11.6489960,166.9616750,-5.4,212,146,90
219,-11.6490950,166.9617070,-5.4,212,146,90
220,-11.6491950,166.9617180,-5.4,214,146,89
221,-11.6492940,166.9617500,-5.4,200,146,88
222,-11.6493920,166.9617930,-5.4,222,146,88
223,-11.6494880,166.9618250,-5.4,225,146,90
224,-11.6495890,166.9618570,-5.4,188,147,90
225,-11.6496870,166.9618890,-5.4,194,147,89
226,-11.6497860,166.9619320,-5.4,210,147,89
227,-11.6498850,166.9619640,-5.4,214,147,89
228,-11.6499830,166.9619970,-5.4,206,147,89
229,-11.6500810,166.9620290,-5.4,207,146,88
230,-11.6501780,166.9620720,-5.4,209,146,89
231,-11.6502740,166.9621040,-5.4,191,146,89
232,-11.6503720,166.9621470,-5.4,202,146,89
233,-11.6504710,166.9621790,-5.4,212,146,88
234,-11.6505660,166.9622110,-5.4,227,146,88
235,-11.6506630,166.9622540,-5.4,217,146,91
236,-11.6507600,166.9622860,-5.4,228,146,92
237,-11.6508550,166.9623180,-5.4,231,146,92
238,-11.6509530,166.9623610,-5.4,224,146,91
239,-11.6510510,166.9623940,-5.4,215,146,91
240,-11.6511480,166.9624360,-5.4,203,146,90
241,-11.6512440,166.9624690,-5.4,200,146,89
242,-11.6513390,166.9625010,-5.4,187,146,87
243,-11.6514330,166.9625440,-5.4,208,146,87
244,-11.6515280,166.9625760,-5.4,188,146,88
245,-11.6516250,166.9626080,-5.4,183,146,86
246,-11.6517200,166.9626510,-5.4,194,146,86
247,-11.6518150,166.9626830,-5.4,190,145,86
248,-11.6519080,166.9627260,-5.4,208,146,87
249,-11.6520000,166.9627580,-5.4,214,146,88
250,-11.6520930,166.9627900,-5.4,201,145,89
251,-11.6521880,166.9628330,-5.4,217,146,89
252,-11.6522820,166.9628660,-5.4,224,145,92
253,-11.6523770,166.9628980,-5.4,215,146,92
254,-11.6524720,166.9629410,-5.4,216,146,91
255,-11.6525670,166.9629730,-5.4,206,146,90
256,-11.6526650,166.9630050,-5.4,220,146,91
257,-11.6527610,166.9630480,-5.4,223,147,92
258,-11.6528560,166.9630800,-5.4,229,147,91
259,-11.6529520,166.9631230,-5.4,203,147,92
260,-11.6530480,166.9631550,-5.4,221,147,92
261,-11.6531410,166.9631980,-5.4,209,147,90
262,-11.6532380,166.9632300,-5.4,215,147,90
263,-11.6533330,166.9632730,-5.4,216,147,90
264,-11.6534280,166.9633270,-5.4,208,147,90
265,-11.6535260,166.9633480,-5.4,210,147,90
266,-11.6536210,166.9633810,-5.4,226,147,90
267,-11.6537190,166.9634230,-5.4,221,147,91
268,-11.6538160,166.9634770,-5.4,224,147,91
269,-11.6539130,166.9635090,-5.4,206,147,91
270,-11.6540100,166.9635310,-5.4,210,147,91
271,-11.6541140,166.9635520,-5.6,226,148,91
272,-11.6542180,166.9635630,-5.6,224,148,90
273,-11.6543240,166.9635630,-5.6,230,148,90
274,-11.6544290,166.9635630,-5.8,230,148,90
275,-11.6545250,166.9635200,-5.8,223,148,92
276,-11.6546090,166.9634560,-6.0,218,148,91
277,-11.6546680,166.9633700,-6.0,209,148,90
278,-11.6546970,166.9632630,-6.0,210,149,90
279,-11.6547080,166.9631550,-6.2,225,149,89
280,-11.6547050,166.9630370,-6.0,220,148,90
281,-11.6547040,166.9629300,-6.0,226,149,90
282,-11.6547040,166.9628230,-5.8,238,148,90
283,-11.6547050,166.9627150,-5.4,230,149,92
284,-11.6547060,166.9626080,-5.2,222,149,91
285,-11.6547040,166.9625120,-4.8,216,149,91
286,-11.6547020,166.9624040,-4.4,206,149,90
287,-11.6547010,166.9623180,-4.0,219,149,92
288,-11.6546970,166.9622220,-3.8,218,149,92
289,-11.6546940,166.9621360,-3.4,219,150,91
290,-11.6546940,166.9620500,-3.2,223,150,92
291,-11.6546940,166.9619640,-2.8,214,150,91
292,-11.6546900,166.9618890,-2.6,217,150,91
293,-11.6546890,166.9618140,-2.2,225,150,92
294,-11.6546890,166.9617180,-2.0,218,150,91
295,-11.6546890,166.9616430,-1.6,232,150,92
296,-11.6546880,166.9615670,-1.4,211,150,91
297,-11.6546880,166.9614920,-1.2,230,150,91
298,-11.6546880,166.9614170,-0.8,226,150,91
299,-11.6546850,166.9613420,-0.6,196,150,90
300,-11.6546820,166.9612670,-0.4,206,151,91
301,-11.6546810,166.9612030,0.0,212,150,91
302,-11.6546800,166.9611280,0.2,218,151,91
303,-11.6546780,166.9610520,0.4,221,150,91
304,-11.6546780,166.9609880,0.6,221,151,91
305,-11.6546760,166.9609130,0.8,217,151,90
306,-11.6546740,166.9608380,0.8,223,150,91
307,-11.6546730,166.9607730,1.0,223,151,91
308,-11.6546720,166.9606980,1.0,224,150,91
309,-11.6546680,166.9606230,0.8,218,151,91
310,-11.6546620,166.9605480,0.6,212,151,90
311,-11.6546540,166.9604520,0.6,210,150,89
312,-11.6546430,166.9603770,0.6,222,150,89
313,-11.6546310,166.9602910,0.6,221,150,90
314,-11.6546190,166.9601940,0.6,223,150,90
315,-11.6546050,166.9601190,0.6,224,150,91
316,-11.6545870,166.9600220,0.6,217,150,90
317,-11.6545670,166.9599370,0.6,220,150,90
318,-11.6545460,166.9598400,0.6,220,150,91
319,-11.6545200,166.9597650,0.6,229,150,90
320,-11.6544930,166.9596790,0.6,254,150,92
321,-11.6544610,166.9595830,0.6,228,150,96
322,-11.6544300,166.9594970,0.6,188,150,94
323,-11.6543980,166.9594000,0.6,183,150,89
324,-11.6543660,166.9593040,0.6,222,150,85
325,-11.6543350,166.9592180,0.6,214,150,84
326,-11.6543010,166.9591430,0.6,245,150,83
327,-11.6542710,166.9590460,0.6,250,150,82
328,-11.6542380,166.9589600,0.8,273,150,84
329,-11.6542090,166.9588640,0.8,263,151,87
330,-11.6541780,166.9587780,0.8,271,151,87
331,-11.6541470,166.9586810,0.8,255,151,87
332,-11.6541160,166.9586060,0.8,282,152,88
333,-11.6540870,166.9585200,0.8,306,152,87
334,-11.6540570,166.9584240,0.8,193,153,80
335,-11.6540240,166.9583490,0.8,187,153,78
336,-11.6539850,166.9582740,0.8,197,153,79
337,-11.6539410,166.9582090,0.8,223,153,83
338,-11.6538950,166.9581340,0.8,220,153,85
339,-11.6538490,166.9580700,0.8,210,153,86
340,-11.6538070,166.9579950,0.8,215,153,86
341,-11.6537700,166.9579300,0.8,217,153,85
342,-11.6537450,166.9578550,0.8,215,153,86
343,-11.6537270,166.9577690,0.8,213,153,86
344,-11.6537180,166.9576940,0.8,194,154,85
345,-11.6537170,166.9576190,0.8,203,154,85
346,-11.6537210,166.9575440,0.8,213,154,84
347,-11.6537250,166.9574480,0.8,211,154,85
348,-11.6537250,166.9573720,0.8,210,154,86
349,-11.6537230,166.9572970,0.8,213,154,85
350,-11.6537230,166.9572010,0.8,206,154,85
351,-11.6537230,166.9571150,0.8,200,153,84
352,-11.6537230,166.9570400,0.8,207,153,84
353,-11.6537230,166.9569430,0.8,209,154,85
354,-11.6537230,166.9568570,0.8,200,153,85
355,-11.6537230,166.9567720,0.8,206,154,85
356,-11.6537250,166.9566860,0.8,197,154,84
357,-11.6537250,166.9565890,0.8,191,153,84
358,-11.6537260,166.9565030,0.8,188,153,83
359,-11.6537270,166.9564070,0.8,189,154,83
360,-11.6537270,166.9563210,0.8,215,153,84
361,-11.6537250,166.9562240,0.8,225,153,86
362,-11.6537180,166.9561390,0.8,202,153,87
363,-11.6537100,166.9560640,0.8,200,154,86
364,-11.6536980,166.9559670,1.0,194,153,85
365,-11.6536870,166.9558700,1.0,199,153,86
366,-11.6536710,166.9557950,1.0,204,153,87
367,-11.6536440,166.9557200,1.0,196,154,88
368,-11.6536050,166.9556450,1.0,204,153,88
369,-11.6535520,166.9555810,1.0,198,153,90
370,-11.6534890,166.9555380,1.0,199,154,89
371,-11.6534180,166.9554950,1.0,198,153,89
372,-11.6533430,166.9554840,0.8,193,154,88
373,-11.6532650,166.9554630,0.8,200,153,87
374,-11.6531870,166.9554520,0.8,218,153,89
375,-11.6531110,166.9554520,0.8,198,153,90
376,-11.6530340,166.9554310,0.8,205,153,89
377,-11.6529590,166.9554310,0.8,212,153,89
378,-11.6528830,166.9554200,0.8,213,153,90
379,-11.6528030,166.9554200,0.8,219,152,90
380,-11.6527230,166.9554200,0.8,201,152,90
381,-11.6526410,166.9554200,0.8,213,153,91
382,-11.6525580,166.9554200,0.8,211,152,90
383,-11.6524750,166.9554200,0.8,200,152,90
384,-11.6523900,166.9553980,0.8,203,152,90
385,-11.6523060,166.9553980,0.8,210,152,89
386,-11.6522190,166.9553980,0.8,202,152,90
387,-11.6521330,166.9553880,0.8,202,152,90
388,-11.6520470,166.9553880,0.8,207,152,91
389,-11.6519600,166.9553880,0.8,196,152,90
390,-11.6518750,166.9553880,0.8,202,152,89
391,-11.6517900,166.9553880,0.8,205,152,90
392,-11.6517060,166.9553880,0.8,207,152,89
393,-11.6516250,166.9553880,0.8,211,152,89
394,-11.6515450,166.9553980,0.6,207,152,89
395,-11.6514690,166.9554200,0.6,205,151,91
396,-11.6514060,166.9554840,0.6,206,151,89
397,-11.6513540,166.9555380,0.4,206,151,89
398,-11.6513070,166.9556020,0.6,207,151,89
399,-11.6512670,166.9556670,0.6,210,151,89
400,-11.6512320,166.9557420,0.6,209,151,90
401,-11.6512010,166.9557950,0.6,213,151,90
402,-11.6511710,166.9558700,0.6,213,151,89
403,-11.6511420,166.9559350,0.8,231,151,90
404,-11.6511150,166.9560100,0.8,226,151,90
405,-11.6510850,166.9560850,0.8,227,151,90
406,-11.6510560,166.9561490,0.8,223,151,90
407,-11.6510280,166.9562240,0.8,235,151,90
408,-11.6509980,166.9563000,0.8,217,152,89
409,-11.6509700,166.9563750,0.8,217,151,88
410,-11.6509410,166.9564600,0.8,224,151,89
411,-11.6509110,166.9565360,0.8,224,151,89
412,-11.6508830,166.9566110,0.8,212,151,88
413,-11.6508550,166.9566860,0.8,207,151,89
414,-11.6508250,166.9567610,0.8,213,151,89
415,-11.6507960,166.9568360,0.8,227,151,89
416,-11.6507660,166.9569110,0.8,209,151,89
417,-11.6507350,166.9569860,0.8,222,151,90
418,-11.6507060,166.9570610,0.8,230,151,90
419,-11.6506750,166.9571470,0.8,226,150,91
420,-11.6506460,166.9572220,0.8,221,150,91
421,-11.6506150,166.9573080,0.8,228,150,90
422,-11.6505840,166.9573830,0.8,212,150,89
423,-11.6505540,166.9574580,0.8,206,150,88
424,-11.6505220,166.9575440,0.8,207,150,88
425,-11.6504910,166.9576300,0.8,225,151,88
426,-11.6504580,166.9577050,0.8,213,150,89
427,-11.6504120,166.9577800,0.8,205,150,88
428,-11.6503610,166.9578440,0.8,218,151,88
429,-11.6503080,166.9579200,0.8,221,150,88
430,-11.6502510,166.9579840,1.0,207,150,89
431,-11.6501910,166.9580380,1.0,218,151,89
432,-11.6501280,166.9581020,1.0,220,150,89
433,-11.6500600,166.9581450,1.2,226,151,90
434,-11.6499870,166.9581990,1.2,216,150,89
435,-11.6499090,166.9582310,1.2,220,150,90
436,-11.6498290,166.9582520,1.4,222,151,89
437,-11.6497460,166.9582520,1.6,222,150,89
438,-11.6496640,166.9582520,1.6,211,151,89
439,-11.6495830,166.9582310,1.8,213,150,89
440,-11.6495100,166.9581990,1.8,222,150,88
441,-11.6494400,166.9581450,2.0,225,150,89
442,-11.6493760,166.9580910,2.0,222,150,89
443,-11.6493140,166.9580380,2.2,227,150,90
444,-11.6492590,166.9579840,2.2,221,150,90
445,-11.6492090,166.9579200,2.4,228,150,90
446,-11.6491660,166.9578440,2.4,237,150,90
447,-11.6491310,166.9577690,2.6,223,150,91
448,-11.6490990,166.9577050,2.8,220,150,89
449,-11.6490740,166.9576300,2.8,235,150,91
450,-11.6490560,166.9575440,2.8,228,150,91
451,-11.6490470,166.9574580,3.0,228,150,91
452,-11.6490480,166.9573830,3.0,215,150,90
453,-11.6490560,166.9573080,3.2,220,150,89
454,-11.6490720,166.9572220,3.2,238,151,90
455,-11.6490930,166.9571470,3.4,242,151,91
456,-11.6491170,166.9570610,3.4,241,151,91
457,-11.6491450,166.9569860,3.4,224,151,91
458,-11.6491770,166.9569110,3.6,222,151,90
459,-11.6492160,166.9568570,3.6,220,151,90
460,-11.6492580,166.9567720,3.6,210,152,90
461,-11.6492980,166.9567180,3.8,217,152,90
462,-11.6493390,166.9566430,3.8,218,152,90
463,-11.6493800,166.9565570,3.8,226,152,90
464,-11.6494180,166.9565030,4.0,223,151,91
465,-11.6494590,166.9564280,4.0,227,152,91
466,-11.6494990,166.9563530,4.2,225,152,92
467,-11.6495410,166.9562890,4.2,225,152,90
468,-11.6495810,166.9562140,4.2,225,152,90
469,-11.6496210,166.9561390,4.4,223,152,89
470,-11.6496600,166.9560740,4.4,220,152,89
471,-11.6497010,166.9559990,4.4,213,152,89
472,-11.6497420,166.9559240,4.6,222,152,90
473,-11.6497820,166.9558600,4.6,221,152,90
474,-11.6498220,166.9557850,4.6,225,152,90
475,-11.6498620,166.9557090,4.8,214,151,90
476,-11.6499030,166.9556450,4.8,220,151,89
477,-11.6499440,166.9555700,4.8,225,151,89
478,-11.6499830,166.9554950,5.0,217,151,89
479,-11.6500250,166.9554310,5.0,208,151,87
480,-11.6500650,166.9553550,5.0,210,152,87
481,-11.6501050,166.9552800,5.2,219,151,87
482,-11.6501450,166.9552160,5.2,212,151,87
483,-11.6501860,166.9551410,5.2,207,151,87
484,-11.6502270,166.9550660,5.4,216,151,87
485,-11.6502670,166.9550010,5.4,229,151,89
486,-11.6503080,166.9549260,5.4,218,151,90
487,-11.6503470,166.9548510,5.6,228,150,91
488,-11.6503870,166.9547980,5.6,212,150,90
489,-11.6504310,166.9547120,5.6,206,151,89
490,-11.6504790,166.9546580,5.6,217,150,89
491,-11.6505300,166.9545830,5.8,232,151,90
492,-11.6505810,166.9545190,5.8,224,151,91
493,-11.6506240,166.9544430,5.8,222,151,90
494,-11.6506250,166.9543680,6.0,234,151,91
495,-11.6505750,166.9543040,6.0,228,151,92
496,-11.6505090,166.9542610,6.2,220,151,91
497,-11.6504360,166.9542070,6.2,222,151,90
498,-11.6503630,166.9541860,6.4,212,151,90
499,-11.6502860,166.9541540,6.4,224,151,90
500,-11.6502080,166.9541320,6.6,225,151,89
501,-11.6501290,166.9541110,6.6,221,151,89
502,-11.6500510,166.9540890,6.8,223,152,90
503,-11.6499740,166.9540790,6.8,231,152,90
504,-11.6498950,166.9540570,7.0,217,152,90
505,-11.6498150,166.9540460,7.0,215,152,90
506,-11.6497360,166.9540140,7.0,208,151,88
507,-11.6496560,166.9540040,7.2,206,152,88
508,-11.6495750,166.9539820,7.2,212,152,87
509,-11.6494940,166.9539710,7.4,220,152,88
510,-11.6494120,166.9539500,7.4,218,152,89
511,-11.6493270,166.9539390,7.6,212,152,89
512,-11.6492450,166.9539180,7.6,218,152,90
513,-11.6491610,166.9539070,7.8,211,152,90
514,-11.6490780,166.9538960,7.8,209,152,89
515,-11.6489950,166.9538750,7.8,206,152,89
516,-11.6489120,166.9538640,8.0,215,152,88
517,-11.6488310,166.9538320,8.0,211,153,89
518,-11.6487490,166.9538100,8.2,209,153,89
519,-11.6486690,166.9538000,8.2,211,153,88
520,-11.6485900,166.9537890,8.4,209,153,88
521,-11.6485110,166.9537570,8.4,209,152,88
522,-11.6484350,166.9537350,8.6,209,153,88
523,-11.6483590,166.9537140,8.6,214,152,89
524,-11.6482870,166.9536820,8.8,218,153,89
525,-11.6482140,166.9536280,8.8,222,152,89
526,-11.6481480,166.9535850,8.8,211,152,89
527,-11.6480880,166.9535210,9.0,209,153,89
528,-11.6480380,166.9534670,9.0,208,152,89
529,-11.6479980,166.9533920,9.0,207,152,88
530,-11.6479770,166.9533170,9.2,214,152,88
531,-11.6479750,166.9532200,9.2,225,152,89
532,-11.6480040,166.9531450,9.2,220,152,89
533,-11.6480590,166.9530700,9.4,216,152,89
534,-11.6481340,166.9530270,9.4,219,152,89
535,-11.6482200,166.9529950,9.6,226,153,89
536,-11.6483070,166.9529950,9.6,197,153,88
537,-11.6483950,166.9529950,9.8,201,153,89
538,-11.6484820,166.9530060,9.8,205,152,88
539,-11.6485710,166.9530270,10.0,218,152,89
540,-11.6486570,166.9530380,10.2,213,152,88
541,-11.6487410,166.9530490,10.2,229,152,91
542,-11.6488280,166.9530700,10.4,224,152,90
543,-11.6489140,166.9530810,10.4,218,152,88
544,-11.6490030,166.9531020,10.6,258,152,87
545,-11.6490900,166.9531240,10.6,217,152,89
546,-11.6491780,166.9531450,10.6,216,152,91
547,-11.6492660,166.9531560,10.8,204,153,90
548,-11.6493530,166.9531880,10.8,175,153,91
549,-11.6494410,166.9532100,11.0,232,153,91
550,-11.6495280,166.9532310,11.0,209,153,89
